"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"mcs_vc2_11chicken","Integer","","Recommended","Animals (Real or Toy). chicken","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_25,i_a_2_11,say_chicken"
"mcs_vc2_12cow","Integer","","Recommended","Animals (Real or Toy). cow","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_26,i_a_2_12,say_cow"
"mcs_vc2_13deer","Integer","","Recommended","Animals (Real or Toy). deer","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_27,i_a_2_13,say_deer"
"mcs_vc2_14dog","Integer","","Recommended","Animals (Real or Toy). dog","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_28,i_a_2_14,say_dog"
"mcs_vc2_15donkey","Integer","","Recommended","Animals (Real or Toy). donkey","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_29,i_a_2_15,say_donkey"
"mcs_vc2_16duck","Integer","","Recommended","Animals (Real or Toy). duck","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_30,i_a_2_16,say_duck"
"mcs_vc2_17elephant","Integer","","Recommended","Animals (Real or Toy). elephant","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_31,i_a_2_17,say_elephant"
"mcs_vc2_18fish","Integer","","Recommended","Animals (Real or Toy). fish","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_32,i_a_2_18,say_fish"
"mcs_vc2_19frog","Integer","","Recommended","Animals (Real or Toy). frog","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_33,i_a_2_19,say_frog"
"mcs_vc2_20giraffe","Integer","","Recommended","Animals (Real or Toy). giraffe","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_34,i_a_2_20,say_giraffe"
"mcs_vc2_21goose","Integer","","Recommended","Animals (Real or Toy). goose","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_35,i_a_2_21,say_goose"
"mcs_vc2_22hen","Integer","","Recommended","Animals (Real or Toy). hen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_36,i_a_2_22,say_hen"
"mcs_vc2_23horse","Integer","","Recommended","Animals (Real or Toy). horse","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_37,i_a_2_23,say_horse"
"mcs_vc2_24kitty","Integer","","Recommended","Animals (Real or Toy). kitty","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_38,i_a_2_24,say_kitty"
"mcs_vc2_25lamb","Integer","","Recommended","Animals (Real or Toy). lamb","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_39,i_a_2_25,say_lamb"
"mcs_vc2_26lion","Integer","","Recommended","Animals (Real or Toy). lion","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_40,i_a_2_26,say_lion"
"mcs_vc2_27monkey","Integer","","Recommended","Animals (Real or Toy). monkey","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_41,i_a_2_27,say_monkey"
"mcs_vc2_28moose","Integer","","Recommended","Animals (Real or Toy). moose","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_42,i_a_2_28,say_moose"
"mcs_vc2_29mouse","Integer","","Recommended","Animals (Real or Toy). mouse","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_43,i_a_2_29,say_mouse"
"mcs_vc2_30owl","Integer","","Recommended","Animals (Real or Toy). owl","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_44,i_a_2_30,say_owl"
"mcs_vc2_31penguin","Integer","","Recommended","Animals (Real or Toy). penguin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_45,i_a_2_31,say_penguin"
"mcs_vc2_32pig","Integer","","Recommended","Animals (Real or Toy). pig","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_46,i_a_2_32,say_pig"
"mcs_vc2_33pony","Integer","","Recommended","Animals (Real or Toy). pony","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_47,i_a_2_33,say_pony"
"mcs_vc2_34puppy","Integer","","Recommended","Animals (Real or Toy). puppy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_48,i_a_2_34,say_puppy"
"mcs_vc2_35rooster","Integer","","Recommended","Animals (Real or Toy). rooster","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_49,i_a_2_35,say_rooster"
"mcs_vc2_36sheep","Integer","","Recommended","Animals (Real or Toy). sheep","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_50,i_a_2_36,say_sheep"
"mcs_vc2_37squirrel","Integer","","Recommended","Animals (Real or Toy). squirrel","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_51,i_a_2_37,say_squirrel"
"mcs_vc2_38teddybear","Integer","","Recommended","Animals (Real or Toy). teddybear","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_52,i_a_2_38,say_teddybear"
"mcs_vc2_39tiger","Integer","","Recommended","Animals (Real or Toy). tiger","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_53,i_a_2_39,say_tiger"
"mcs_vc2_40turkey","Integer","","Recommended","Animals (Real or Toy). turkey","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_54,i_a_2_40,say_turkey"
"mcs_vc2_41turtle","Integer","","Recommended","Animals (Real or Toy). turtle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_55,i_a_2_41,say_turtle"
"mcs_vc2_42wolf","Integer","","Recommended","Animals (Real or Toy). wolf","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_56,i_a_2_42,say_wolf"
"mcs_vc2_43zebra","Integer","","Recommended","Animals (Real or Toy). zebra","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_57,i_a_2_43,say_zebra"
"mcs_vc3_1airplane","Integer","","Recommended","Vehicles (Real or Toy). airplane","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_59,i_a_3_1�,say_airplane"
"mcs_vc3_2bicycle","Integer","","Recommended","Vehicles (Real or Toy). bicycle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_60,i_a_3_2�,say_bicycle"
"mcs_vc3_3boat","Integer","","Recommended","Vehicles (Real or Toy). boat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_61,i_a_3_3�,say_boat"
"mcs_vc3_4bus","Integer","","Recommended","Vehicles (Real or Toy). bus","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_62,i_a_3_4�,say_bus"
"mcs_vc3_5car","Integer","","Recommended","Vehicles (Real or Toy). car","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_63,i_a_3_5�,say_car"
"mcs_vc3_6firetruck","Integer","","Recommended","Vehicles (Real or Toy). firetruck","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_64,i_a_3_6�,say_firetruck"
"mcs_vc3_7helicopter","Integer","","Recommended","Vehicles (Real or Toy). helicopter","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_65,i_a_3_7�,say_helicopter"
"mcs_vc3_8motorcycle","Integer","","Recommended","Vehicles (Real or Toy). motorcycle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_66,i_a_3_8�,say_motorcycle"
"mcs_vc3_9sled","Integer","","Recommended","Vehicles (Real or Toy). sled","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_67,i_a_3_9�,say_sled"
"mcs_vc3_10stroller","Integer","","Recommended","Vehicles (Real or Toy). stroller","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_68,i_a_3_10,say_stroller"
"mcs_vc3_11tractor","Integer","","Recommended","Vehicles (Real or Toy). tractor","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_69,i_a_3_11,say_tractor"
"mcs_vc3_12train","Integer","","Recommended","Vehicles (Real or Toy). train","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_70,i_a_3_12,say_train"
"mcs_vc3_13tricycle","Integer","","Recommended","Vehicles (Real or Toy). tricycle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_71,i_a_3_13,say_tricycle"
"mcs_vc3_14truck","Integer","","Recommended","Vehicles (Real or Toy). truck","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_72,i_a_3_14,say_truck"
"mcs_vc4_1ball","Integer","","Recommended","Toys. ball","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_74,i_a_4_1�,say_ball"
"mcs_vc4_2balloon","Integer","","Recommended","Toys. balloon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_75,i_a_4_2�,say_balloon"
"mcs_vc4_3bat","Integer","","Recommended","Toys. bat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_76,i_a_4_3�,say_bat"
"mcs_vc4_4block","Integer","","Recommended","Toys. block","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_77,i_a_4_4�,say_block"
"mcs_vc4_5book","Integer","","Recommended","Toys. book","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_78,i_a_4_5�,say_book"
"mcs_vc4_6bubbles","Integer","","Recommended","Toys. bubbles","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_79,i_a_4_6�,say_bubbles"
"mcs_vc4_7chalk","Integer","","Recommended","Toys. chalk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_80,i_a_4_7�,say_chalk"
"mcs_vc4_8crayon","Integer","","Recommended","Toys. crayon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_81,i_a_4_8�,say_crayon"
"mcs_vc4_9doll","Integer","","Recommended","Toys. doll","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_82,i_a_4_9�,say_doll"
"mcs_vc4_10game","Integer","","Recommended","Toys. game","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_83,i_a_4_10,say_game"
"mcs_vc4_11glue","Integer","","Recommended","Toys. glue","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_84,i_a_4_11,say_glue"
"mcs_vc4_12pen","Integer","","Recommended","Toys. pen","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_85,i_a_4_12,say_pen"
"mcs_vc4_13pencil","Integer","","Recommended","Toys. pencil","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_86,i_a_4_13,say_pencil"
"mcs_vc4_14playdough","Integer","","Recommended","Toys. playdough","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_87,i_a_4_14,say_play_dough"
"mcs_vc4_15present","Integer","","Recommended","Toys. present","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_88,i_a_4_15,say_present"
"mcs_vc4_16puzzle","Integer","","Recommended","Toys. puzzle","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_89,i_a_4_16,say_puzzle"
"mcs_vc4_17story","Integer","","Recommended","Toys. story","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_90,i_a_4_17,say_story"
"mcs_vc4_18toy","Integer","","Recommended","Toys. toy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_91,i_a_4_18,say_toy"
"mcs_vc5_1apple","Integer","","Recommended","Food and Drink. apple","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_93,i_a_5_1�,say_apple"
"mcs_vc5_2applesauce","Integer","","Recommended","Food and Drink. applesauce","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_94,i_a_5_2�,say_applesauce"
"mcs_vc5_3banana","Integer","","Recommended","Food and Drink. banana","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_95,i_a_5_3�,say_banana"
"mcs_vc5_4beans","Integer","","Recommended","Food and Drink. beans","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_96,i_a_5_4�,say_beans"
"mcs_vc5_5bread","Integer","","Recommended","Food and Drink. bread","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_97,i_a_5_5�,say_bread"
"mcs_vc5_6butter","Integer","","Recommended","Food and Drink. butter","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_98,i_a_5_6�,say_butter"
"mcs_vc5_7cake","Integer","","Recommended","Food and Drink. cake","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_99,i_a_5_7�,say_cake"
"mcs_vc5_8candy","Integer","","Recommended","Food and Drink. candy","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_100,i_a_5_8�,say_candy"
"mcs_vc5_9carrots","Integer","","Recommended","Food and Drink. carrots","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_101,i_a_5_9�,say_carrots"
"mcs_vc5_10cereal","Integer","","Recommended","Food and Drink. cereal","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_102,i_a_5_10,say_cereal"
"mcs_vc5_11cheerios","Integer","","Recommended","Food and Drink. cheerios","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_103,i_a_5_11,say_cheerios"
"mcs_vc5_12cheese","Integer","","Recommended","Food and Drink. cheese","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_104,i_a_5_12,say_cheese"
"mcs_vc5_13chicken","Integer","","Recommended","Food and Drink. chicken","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_105,i_a_5_13,say_food_chicken"
"mcs_vc5_14chocolate","Integer","","Recommended","Food and Drink. chocolate","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_106,i_a_5_14,say_chocolate"
"mcs_vc5_15coffee","Integer","","Recommended","Food and Drink. coffee","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_107,i_a_5_15,say_coffee"
"mcs_vc5_16coke","Integer","","Recommended","Food and Drink. coke","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_108,i_a_5_16,say_coke"
"mcs_vc5_17cookie","Integer","","Recommended","Food and Drink. cookie","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_109,i_a_5_17,say_cookie"
"mcs_vc5_18corn","Integer","","Recommended","Food and Drink. corn","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_110,i_a_5_18,say_corn"
"mcs_vc5_19cracker","Integer","","Recommended","Food and Drink. cracker","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_111,i_a_5_19,say_cracker"
"mcs_vc5_20donut","Integer","","Recommended","Food and Drink. donut","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_112,i_a_5_20,say_donut"
"mcs_vc5_21drink","Integer","","Recommended","Food and Drink. drink","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_113,i_a_5_21,say_drink"
"mcs_vc5_22egg","Integer","","Recommended","Food and Drink. egg","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_114,i_a_5_22,say_egg"
"mcs_vc5_23fish","Integer","","Recommended","Food and Drink. fish","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_115,i_a_5_23,say_food_fish"
"mcs_vc5_24food","Integer","","Recommended","Food and Drink. food","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_116,i_a_5_24,say_food"
"mcs_vc5_25frenchfries","Integer","","Recommended","Food and Drink. frenchfries","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_117,i_a_5_25,say_french_fries"
"mcs_vc5_26grapes","Integer","","Recommended","Food and Drink. grapes","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_118,i_a_5_26,say_grapes"
"mcs_vc5_27greenbeans","Integer","","Recommended","Food and Drink. greenbeans","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_119,i_a_5_27,say_green_beans"
"mcs_vc5_28gum","Integer","","Recommended","Food and Drink. gum","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_120,i_a_5_28,say_gum"
"mcs_vc5_29hamburger","Integer","","Recommended","Food and Drink. hamburger","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_121,i_a_5_29,say_hamburger"
"mcs_vc5_30ice","Integer","","Recommended","Food and Drink. ice","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_122,i_a_5_30,say_ice"
"mcs_vc5_31icecream","Integer","","Recommended","Food and Drink. ice cream","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_123,i_a_5_31,say_ice_cream"
"mcs_vc5_32jello","Integer","","Recommended","Food and Drink. jello","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_124,i_a_5_32,say_jello"
"mcs_vc5_33jelly","Integer","","Recommended","Food and Drink. jelly","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_125,i_a_5_33,say_jelly"
"mcs_vc5_34juice","Integer","","Recommended","Food and Drink. juice","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_126,i_a_5_34,say_juice"
"mcs_vc5_35lollipop","Integer","","Recommended","Food and Drink. lollipop","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_127,i_a_5_35,say_lollipop"
"mcs_vc5_36meat","Integer","","Recommended","Food and Drink. meat","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_128,i_a_5_36,say_meat"
"mcs_vc5_37melon","Integer","","Recommended","Food and Drink. melon","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_129,i_a_5_37,say_melon"
"mcs_vc5_38milk","Integer","","Recommended","Food and Drink. milk","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_130,i_a_5_38,say_milk"
"mcs_vc5_39muffin","Integer","","Recommended","Food and Drink. muffin","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_131,i_a_5_39,say_muffin"
"mcs_vc5_40noodles","Integer","","Recommended","Food and Drink. noodles","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_132,i_a_5_40,say_noodles"
"mcs_vc5_41nuts","Integer","","Recommended","Food and Drink. nuts","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_133,i_a_5_41,say_nuts"
"mcs_vc5_42orange","Integer","","Recommended","Food and Drink. orange","0::3","0 = No; 1 = Yes (Says and Understands); 2 = Understands; 3 = Says","MacWS_134,i_a_5_42,say_orange"
